#: table_doi: 10.17182/hepdata.45173.v1/t1
#: name: Table 1
#: description: Axis error includes +- 1/1 contribution (The overall uncertainty in the bin-to-bin polar acceptance due to shower corrections, trigger and reconstruction efficiencies was estimated to be less than 1% and was added in quadrature to the statistical errorsData have been corrected for qed radiative effects up to order alpha**3 (F.A.Berends, R.Kleiss, Nucl.Phys.B206(1983)61)//Weak radiative corrections have not yet been provided in a form of a Monte Carlo generator program, but are estimated to be negligible at PETRA energies (M.Bohm, A.Denner, W.Hollik, DESY-86-165)).

#: data_file: Table1.yaml
#: keyword reactions: E+ E- --> E+ E-
#: keyword observables: DSIG/DOMEGA
#: keyword phrases: Elastic | Single Differential Cross Section | E+ E- Scattering | Electron production
#: keyword cmenergies: 14.0-43.6
#: RE,E+ E- --> E+ E-
#: SQRT(S) [GeV],14.0,,,,
COS(THETA),S*D(SIG)/D(OMEGA) [NB*GEV**2],error +,error -,"sys,The overall systematic uncertainty for the luminosity determination from wide angle Bhabha scattering amounted typically to +-(3.0-3.5)%. The luminosity  measurement as derived from small angle Bhabha scattering had a typical uncertainty of +-(3.5-4.5)%. Since both luminosity determinations from wide angle and small angle measurements agree very well and wide angle Bhabha scattering deviates only marginally from QED it was assumed for the extraction of physics parameters a conservative systematic overall uncertainty of +-3%. This overall systematic uncertainty is not included in the cross section data points in the table +","sys,The overall systematic uncertainty for the luminosity determination from wide angle Bhabha scattering amounted typically to +-(3.0-3.5)%. The luminosity  measurement as derived from small angle Bhabha scattering had a typical uncertainty of +-(3.5-4.5)%. Since both luminosity determinations from wide angle and small angle measurements agree very well and wide angle Bhabha scattering deviates only marginally from QED it was assumed for the extraction of physics parameters a conservative systematic overall uncertainty of +-3%. This overall systematic uncertainty is not included in the cross section data points in the table -"
0.775,1431.0,29.7,-29.7,3.0%,-3.0%
0.725,907.9,22.5,-22.5,3.0%,-3.0%
0.675,603.5,17.9,-17.9,3.0%,-3.0%
0.625,435.1,15.1,-15.1,3.0%,-3.0%
0.575,330.8,13.1,-13.1,3.0%,-3.0%
0.525,241.6,11.2,-11.2,3.0%,-3.0%
0.45,182.7,6.9,-6.9,3.0%,-3.0%
0.35,122.6,5.6,-5.6,3.0%,-3.0%
0.25,84.9,4.8,-4.8,3.0%,-3.0%
0.15,63.8,4.2,-4.2,3.0%,-3.0%
0.05,55.6,3.9,-3.9,3.0%,-3.0%
-0.05,40.7,3.4,-3.4,3.0%,-3.0%
-0.15,34.1,3.2,-3.2,3.0%,-3.0%
-0.25,34.4,3.2,-3.2,3.0%,-3.0%
-0.35,25.0,2.8,-2.8,3.0%,-3.0%
-0.45,28.7,3.0,-3.0,3.0%,-3.0%
-0.55,25.0,3.0,-3.0,3.0%,-3.0%
-0.65,25.4,3.2,-3.2,3.0%,-3.0%
-0.75,21.8,3.2,-3.2,3.0%,-3.0%

#: RE,E+ E- --> E+ E-
#: SQRT(S) [GeV],22.0,,,,
COS(THETA),S*D(SIG)/D(OMEGA) [NB*GEV**2],error +,error -,"sys,The overall systematic uncertainty for the luminosity determination from wide angle Bhabha scattering amounted typically to +-(3.0-3.5)%. The luminosity  measurement as derived from small angle Bhabha scattering had a typical uncertainty of +-(3.5-4.5)%. Since both luminosity determinations from wide angle and small angle measurements agree very well and wide angle Bhabha scattering deviates only marginally from QED it was assumed for the extraction of physics parameters a conservative systematic overall uncertainty of +-3%. This overall systematic uncertainty is not included in the cross section data points in the table +","sys,The overall systematic uncertainty for the luminosity determination from wide angle Bhabha scattering amounted typically to +-(3.0-3.5)%. The luminosity  measurement as derived from small angle Bhabha scattering had a typical uncertainty of +-(3.5-4.5)%. Since both luminosity determinations from wide angle and small angle measurements agree very well and wide angle Bhabha scattering deviates only marginally from QED it was assumed for the extraction of physics parameters a conservative systematic overall uncertainty of +-3%. This overall systematic uncertainty is not included in the cross section data points in the table -"
0.775,1319.0,33.6,-33.6,3.0%,-3.0%
0.725,839.3,25.5,-25.5,3.0%,-3.0%
0.675,583.7,20.8,-20.8,3.0%,-3.0%
0.625,396.3,17.0,-17.0,3.0%,-3.0%
0.575,296.1,14.6,-14.6,3.0%,-3.0%
0.525,250.0,13.4,-13.4,3.0%,-3.0%
0.45,159.5,7.6,-7.6,3.0%,-3.0%
0.35,114.1,6.4,-6.4,3.0%,-3.0%
0.25,78.1,5.4,-5.4,3.0%,-3.0%
0.15,63.1,4.9,-4.9,3.0%,-3.0%
0.05,47.2,4.3,-4.3,3.0%,-3.0%
-0.05,38.6,3.9,-3.9,3.0%,-3.0%
-0.15,35.7,3.8,-3.8,3.0%,-3.0%
-0.25,28.6,3.5,-3.5,3.0%,-3.0%
-0.35,28.4,3.5,-3.5,3.0%,-3.0%
-0.45,25.9,3.4,-3.4,3.0%,-3.0%
-0.55,24.2,3.5,-3.5,3.0%,-3.0%
-0.65,24.0,3.6,-3.6,3.0%,-3.0%
-0.75,16.1,3.4,-3.4,3.0%,-3.0%

#: RE,E+ E- --> E+ E-
#: SQRT(S) [GeV],34.8,,,,
COS(THETA),S*D(SIG)/D(OMEGA) [NB*GEV**2],error +,error -,"sys,The overall systematic uncertainty for the luminosity determination from wide angle Bhabha scattering amounted typically to +-(3.0-3.5)%. The luminosity  measurement as derived from small angle Bhabha scattering had a typical uncertainty of +-(3.5-4.5)%. Since both luminosity determinations from wide angle and small angle measurements agree very well and wide angle Bhabha scattering deviates only marginally from QED it was assumed for the extraction of physics parameters a conservative systematic overall uncertainty of +-3%. This overall systematic uncertainty is not included in the cross section data points in the table +","sys,The overall systematic uncertainty for the luminosity determination from wide angle Bhabha scattering amounted typically to +-(3.0-3.5)%. The luminosity  measurement as derived from small angle Bhabha scattering had a typical uncertainty of +-(3.5-4.5)%. Since both luminosity determinations from wide angle and small angle measurements agree very well and wide angle Bhabha scattering deviates only marginally from QED it was assumed for the extraction of physics parameters a conservative systematic overall uncertainty of +-3%. This overall systematic uncertainty is not included in the cross section data points in the table -"
0.775,1336.8,14.7,-14.7,3.0%,-3.0%
0.725,861.0,9.9,-9.9,3.0%,-3.0%
0.675,587.3,7.1,-7.1,3.0%,-3.0%
0.625,419.1,5.5,-5.5,3.0%,-3.0%
0.575,315.5,4.4,-4.4,3.0%,-3.0%
0.525,249.1,3.7,-3.7,3.0%,-3.0%
0.45,172.0,2.4,-2.4,3.0%,-3.0%
0.35,118.5,1.8,-1.8,3.0%,-3.0%
0.25,84.8,1.5,-1.5,3.0%,-3.0%
0.15,61.9,1.2,-1.2,3.0%,-3.0%
0.05,51.2,1.1,-1.1,3.0%,-3.0%
-0.05,42.0,0.9,-0.9,3.0%,-3.0%
-0.15,35.4,0.8,-0.8,3.0%,-3.0%
-0.25,30.9,0.8,-0.8,3.0%,-3.0%
-0.35,26.5,0.7,-0.7,3.0%,-3.0%
-0.45,24.7,0.7,-0.7,3.0%,-3.0%
-0.55,24.5,0.7,-0.7,3.0%,-3.0%
-0.65,22.7,0.7,-0.7,3.0%,-3.0%
-0.75,22.5,0.8,-0.8,3.0%,-3.0%

#: RE,E+ E- --> E+ E-
#: SQRT(S) [GeV],38.3,,,,
COS(THETA),S*D(SIG)/D(OMEGA) [NB*GEV**2],error +,error -,"sys,The overall systematic uncertainty for the luminosity determination from wide angle Bhabha scattering amounted typically to +-(3.0-3.5)%. The luminosity  measurement as derived from small angle Bhabha scattering had a typical uncertainty of +-(3.5-4.5)%. Since both luminosity determinations from wide angle and small angle measurements agree very well and wide angle Bhabha scattering deviates only marginally from QED it was assumed for the extraction of physics parameters a conservative systematic overall uncertainty of +-3%. This overall systematic uncertainty is not included in the cross section data points in the table +","sys,The overall systematic uncertainty for the luminosity determination from wide angle Bhabha scattering amounted typically to +-(3.0-3.5)%. The luminosity  measurement as derived from small angle Bhabha scattering had a typical uncertainty of +-(3.5-4.5)%. Since both luminosity determinations from wide angle and small angle measurements agree very well and wide angle Bhabha scattering deviates only marginally from QED it was assumed for the extraction of physics parameters a conservative systematic overall uncertainty of +-3%. This overall systematic uncertainty is not included in the cross section data points in the table -"
0.775,1326.0,36.4,-36.4,3.0%,-3.0%
0.725,893.1,28.4,-28.4,3.0%,-3.0%
0.675,576.7,22.8,-22.8,3.0%,-3.0%
0.625,408.8,19.2,-19.2,3.0%,-3.0%
0.575,312.6,16.7,-16.7,3.0%,-3.0%
0.525,249.3,14.9,-14.9,3.0%,-3.0%
0.45,181.6,9.1,-9.1,3.0%,-3.0%
0.35,114.1,7.1,-7.1,3.0%,-3.0%
